Name,Year,Status,Birth Date,Birth Place,Gender,Alma Mater,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,Country
Michael L. Gernhardt,1992.0,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,,,4,1039,4.0,23.0,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,,USA
Edward G. Gibson,1965.0,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,,,1,2017,3.0,15.0,Skylab 4,,,USA
Robert L. Gibson,1978.0,Retired,10/30/1946,"Cooperstown, NY",Male,California Polytechnic Institute,Captain,US Navy (Retired),5,868,0.0,0.0,"STS-41-B (Challenger), STS-61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,,USA
Edward G. Givens,1966.0,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,Major,US Air Force,0,0,0.0,0.0,,6/6/1967,,USA
John H. Glenn,1959.0,Retired,7/18/1921,"Cambridge, OH",Male,Muskingum College,Colonel,US Marine Corps (Retired),2,218,0.0,0.0,"Mercury 6, STS-95 (Discovery)",,,USA
Linda M. Godwin,1985.0,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,,,4,918,2.0,10.0,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,,USA
Michael T. Good,2000.0,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,Colonel,US Air Force (Retired),2,592,4.0,30.0,"STS-125 (Atlantis), STS-132 (Atlantis)",,,USA
Richard F. Gordon,1963.0,Retired,10/5/1929,"Seattle, WA",Male,University of Washington,Captain,US Navy (Retired),2,315,1.0,0.5,"Gemini 11, Apollo 12",,,USA
Dominic L. Gorie,1995.0,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Captain,US Navy (Retired),4,1167,0.0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,,USA
Ronald J. Grabe,1980.0,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,Colonel,US Air Force (Retired),4,627,0.0,0.0,"STS-51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,,USA
Duane E. Graveline,1965.0,Retired,3/2/1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,,0,0,0.0,0.0,,,,USA
Frederick D. Gregory,1978.0,Retired,1/7/1941,"Washington, DC",Male,US Air Force Academy; George Washington University,Colonel,US Air Force (Retired),3,455,0.0,0.0,"STS-51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,,USA
William G. Gregory,1990.0,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Lieutenant Colonel,US Air Force,1,399,0.0,0.0,STS-67 (Endeavor),,,USA
S. David Griggs,1978.0,Deceased,9/7/1939,"Portland, OR",Male,US Naval Academy; George Washington University,,,1,167,1.0,3.0,STS-51-D (Discovery),6/17/1989,,USA
Virgil I. Grissom,1959.0,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,Lieutenant Colonel,US Air Force,2,5,0.0,0.0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1,USA
John M. Grunsfeld,1992.0,Management,10/10/1958,"Chicago, IL",Male,MIT; University of Chicago,,,5,1407,8.0,58.0,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,,USA
Sidney M. Gutierrez,1984.0,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Colonel,US Air Force (Retired),2,488,0.0,0.0,"STS-40 (Columbia), STS-59 (Endeavor)",,,USA
Fred W. Haise,1966.0,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,,,1,142,0.0,0.0,Apollo 13 ,,,USA
James D. Halsell,1990.0,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Colonel,US Air Force (Retired),5,1258,0.0,0.0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,,USA
Kenneth T. Ham,1998.0,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy,2,612,0.0,0.0,"STS-124 (Discovery), STS-132 (Atlantis)",,,USA
L. Blaine Hammond,1984.0,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Colonel,US Air Force (Retired),2,462,0.0,0.0,"STS-39 (Discovery), STS-64 (Discovery)",,,USA
Gregory J. Harbaugh,1987.0,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,,,4,817,3.0,18.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,,USA
Bernard A. Harris,1990.0,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,,,2,438,1.0,5.0,"STS-55 (Columbia), STS-63 (Discovery)",,,USA
Terry J. Hart,1978.0,Retired,10/27/1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,,,1,167,0.0,0.0,STS-41-C (Challenger),,,USA
Henry W. Hartsfield,1969.0,Retired,11/21/1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Colonel,US Air Force (Retired),3,482,0.0,0.0,"STS-4 (Columbia), STS-41-D (Discovery), STS-61-A (Challenger)",,,USA
Frederick H. Hauck,1978.0,Retired,4/11/1941,"Long Beach, CA",Male,Tufts University; MIT,Captain,US Navy (Retired),3,435,0.0,0.0,"STS-7 (Challenger), STS-51-A (Discovery), STS-26 (Discovery)",,,USA
Steven A. Hawley,1978.0,Retired,12/12/1951,"Ottawa, KS",Male,University of Kansas; University of California,,,5,770,0.0,0.0,"STS-41-D (Discovery), STS-61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,,USA
Susan J. Helms,1990.0,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Lieutenant General,US Air Force,5,5063,1.0,9.0,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102 (Discovery)",,,USA
Karl G. Henize,1967.0,Deceased,10/17/1926,"Cincinnati, OH",Male,University of Virginia; University of Michigan,,,1,190,0.0,0.0,STS-51-F (Challenger),10/5/1993,,USA
Thomas J. Hennen,,Retired,8/17/1952,"Albany, GA",Male,,Chief Warrant Officer,US Army (Retired),1,166,0.0,0.0,STS-44 (Atlantis),,,USA
Terence T. Henricks,1985.0,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Colonel,US Air Force (Retired),4,1026,0.0,0.0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,,USA
Jose M. Hernandez,2004.0,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,,,1,332,0.0,0.0,STS-128 (Discovery),,,USA
John B. Herrington,1996.0,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Commander,US Navy (Retired),1,330,3.0,20.0,STS-113 (Endeavor),,,USA
Richard J. Hieb,1985.0,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,,,3,766,3.0,18.0,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,,USA
Joan E. Higginbotham,1996.0,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,,,1,308,0.0,0.0,STS-116 (Discovery),,,USA
David C. Hilmers,1980.0,Retired,1/28/1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Colonel,US Marine Corps (Retired),4,494,0.0,0.0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,,USA
Kathryn P. Hire,1995.0,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Captain,US Naval Reserves,2,711,0.0,0.0,"STS-90 (Columbia), STS-130 (Endeavor)",,,USA
Charles O. Hobaugh,1996.0,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,Colonel,US Marine Corps (Retired),3,873,0.0,0.0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,,USA
Jeffrey A. Hoffman,1978.0,Retired,11/2/1944,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,,,5,1211,4.0,25.0,"STS-51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,,USA
Donald L. Holmquest,1967.0,Retired,4/7/1939,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,,,0,0,0.0,0.0,,,,USA
Michael S. Hopkins,2009.0,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Colonel,US Air Force,1,3990,2.0,13.0,Soyuz TMA-10M,,,USA
Scott J. Horowitz,1992.0,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Colonel,US Air Force (Retired),4,1137,0.0,0.0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,,USA
Millie Hughes-Fulford,,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s University,,,1,218,0.0,0.0,STS-40 (Columbia),,,USA
Douglas G. Hurley,2000.0,Active,10/21/1966,"Endicott, NY",Male,Tulane University,Colonel,US Marine Corps,2,683,0.0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,,USA
Rick D. Husband,1995.0,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University; California State University,Colonel,US Air Force,2,617,0.0,0.0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia),USA
James B. Irwin,1966.0,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Colonel,US Air Force (Retired),1,295,3.0,20.0,Apollo 15,8/8/1991,,USA
Marsha S. Ivins,1984.0,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,,,5,1341,0.0,0.0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,,USA
Gregory B. Jarvis,,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,,,1,0,0.0,0.0,STS-51-L (Challenger),1/28/1986,STS-51-L (Challenger),USA
Mae C. Jemison,1987.0,Retired,10/17/1956,"Decatur, AL",Female,Stanford University; Cornell University,,,1,190,0.0,0.0,STS-47 (Endeavor),,,USA
Tamara E. Jernigan,1985.0,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,,,5,1489,1.0,8.0,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,,USA
Brent W. Jett,1992.0,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),4,1002,0.0,0.0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,,USA
Gregory C. Johnson,1998.0,Management,7/30/1954,"Seattle, WA",Male,University of Washington,Captain,US Navy (Retired),1,309,0.0,0.0,STS-125 (Atlantis),,,USA
Gregory H. Johnson,1998.0,Active,5/12/1962,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Colonel,US Air Force (Retired),2,755,0.0,0.0,"STS-123 (Endeavor), STS-134 (Endeavor)",,,USA
Thomas D. Jones,1990.0,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,,4,1272,3.0,20.0,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,,USA
Janet L. Kavandi,1995.0,Management,7/17/1959,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,,,3,812,0.0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,,USA
James M. Kelly,1996.0,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Colonel,US Air Force (Retired),2,641,0.0,0.0,"STS-102 (Discovery), STS-114 (Discovery)",,,USA
Mark E. Kelly,1996.0,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Captain,US Navy (Retired),4,1298,0.0,0.0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,,USA
Scott J. Kelly,1996.0,Active,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Captain,US Navy (Retired),4,12490,3.0,18.0,"STS-103 (Discovery), STS-118 (Endeavor), Soyuz TMA-01M, Soyuz TMA-16M",,,USA
Joseph P. Kerwin,1965.0,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Captain,US Navy (Retired),1,672,1.0,3.0,Skylab 2,,,USA
Susan L. Kilrain (Still),1995.0,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Commander,US Navy (Retired),2,472,0.0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,,USA
Robert S. Kimbrough,2004.0,Active,6/4/1967,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Colonel,US Army,3,4535,6.0,39.0,"STS-126 (Endeavor), Soyuz MS-02",,,USA
Timothy L. Kopra,2000.0,Active,4/9/1963,"Austin, TX",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Colonel,US Army (Retired),2,5857,3.0,13.0,"STS-127 (Endeavor), Soyuz TMA-19M",,,USA
Kevin R. Kregel,1992.0,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy; Troy State University,,,4,1265,0.0,0.0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,,USA
Wendy B. Lawrence,1992.0,Retired,7/2/1959,"Jacksonville, FL",Female,US Naval Academy; MIT,Captain,US Navy (Retired),4,1223,0.0,0.0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,,USA
Mark C. Lee,1984.0,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy; MIT,Colonel,US Air Force (Retired),4,789,4.0,26.0,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,,USA
David C. Leestma,1980.0,Management,5/6/1949,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),3,532,1.0,3.0,"STS-41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,,USA
William B. Lenoir,1967.0,Deceased,3/14/1939,"Miami, FL",Male,MIT,,,1,122,0.0,0.0,STS-5 (Columbia),8/26/2012,,USA
Fred W. Leslie,,Retired,12/19/1951,"Ancon, Panama",Male,University of Texas; University of Oklahoma,,,1,381,0.0,0.0,STS-73 (Columbia),,,USA
Byron K. Lichtenberg,,Retired,2/19/1948,"Stroudsburg, PA",Male,Brown University; MIT,,,2,461,0.0,0.0,"STS-9 (Columbia), STS-45 (Atlantis)",,,USA
Don L. Lind,1966.0,Retired,5/18/1930,"Midvale, UT",Male,University of Utah; University of California-Berkley,,,1,168,0.0,0.0,STS-51-B (Challenger),,,USA
Kjell N. Lindgren,2009.0,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,,,1,3400,2.0,15.0,Soyuz TMA-17M,,,USA
Steven W. Lindsey,1995.0,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Colonel,US Air Force (Retired),5,1510,0.0,0.0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,,USA
Jerry M. Linenger,1992.0,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Captain,US Navy (Retired),2,3435,1.0,5.0,"STS-64 (Discovery), STS-81 (Atlantis)",,,USA
Richard M. Linnehan,1992.0,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,,,4,1427,6.0,43.0,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,,USA
Gregory T. Linteris,,Retired,10/4/1957,"Demarest, NJ",Male,Princeton University; Stanford University,,,2,471,0.0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,,USA
John A. Llewellyn,1967.0,Retired,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,,,0,0,0.0,0.0,,,,USA
Paul S. Lockhart,1996.0,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University; University of Texas,Colonel,US Air Force (Retired),2,663,0.0,0.0,"STS-111 (Endeavor), STS-113 (Endeavor)",,,USA
Michael E. Lopez-Alegria,1992.0,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),3,6190,10.0,67.0,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), Soyuz TMA-9",,,USA
Christopher J. Loria,1996.0,Retired,7/9/1960,"Belmont, MA",Male,US Naval Academy; Harvard University,Colonel,US Marine Corps (Retired),0,0,0.0,0.0,,,,USA
J. Mike Lounge,1980.0,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy; University of Colorado,,,3,483,0.0,0.0,"STS-51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/2011,,USA
Jack R. Lousma,1966.0,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Colonel,US Marine Corps (Retired),2,1619,2.0,11.0,"Skylab 3, STS-3 (Columbia)",,,USA
Stanley G. Love,1998.0,Management,6/8/1965,"San Diego, CA",Male,Harvey Mudd College; University of Washington,,,1,306,2.0,15.0,STS-122 (Atlantis),,,USA
James A. Lovell,1962.0,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,Captain,US Navy (Retired),4,715,0.0,0.0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,,USA
G. David Low,1984.0,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,,,3,714,1.0,6.0,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/2008,,USA
Edward T. Lu,1995.0,Retired,7/1/1963,"Springfield, MA",Male,Cornell University; Stanford University,,,3,4962,1.0,6.0,"STS-84 (Atlantis), STS-106 (Atlantis), Soyuz TMA-2",,,USA
Shannon W. Lucid,1978.0,Retired,1/14/1943,"Shanghai, China",Female,University of Oklahoma,,,5,5354,0.0,0.0,"STS-51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76 (Atlantis)",,,USA
Sandra H. Magnus,1996.0,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,,,3,3776,0.0,0.0,"STS-112 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,,USA
Thomas H. Marshburn,2004.0,Active,8/29/1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,,,2,3871,4.0,24.0,"STS-127 (Endeavor), Soyuz TMA-07M",,,USA
Michael J. Massimino,1996.0,Management,8/19/1962,"Oceanside, NY",Male,Columbia University; MIT,,,2,571,4.0,30.0,"STS-109 (Columbia), STS-125 (Atlantis)",,,USA
Richard A. Mastracchio,1996.0,Active,2/11/1960,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,,,4,5461,9.0,53.0,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), Soyuz TMA-11M",,,USA
Thomas K. Mattingly II ,1966.0,Retired,3/17/1936,"Chicago, IL",Male,Auburn University,Rear Admiral,US Navy (Retired),3,508,1.0,1.0,"Apollo 16, STS-4 (Columbia), STS-51-C (Discovery)",,,USA
K. Megan McArthur,2000.0,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,,,1,309,0.0,0.0,STS-125 (Atlantis),,,USA
William S. McArthur,1990.0,Management,7/26/1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Colonel,US Army (Retired),4,5398,4.0,24.0,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), Soyuz TMA-7",,,USA
S. Christa McAuliffe,,Deceased,9/2/1948,"Boston, MA",Female,Framingham State College; Bowie State College,,,1,0,0.0,0.0,STS-51-L (Challenger),1/28/1986,STS-51-L (Challenger),USA
Jon A. McBride,1978.0,Retired,8/14/1943,"Charleston, WV",Male,US Naval Postgraduate School,Captain,US Navy (Retired),1,197,0.0,0.0,STS-41-G (Challenger),,,USA
Bruce McCandless II ,1966.0,Retired,6/8/1937,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,Captain,US Navy (Retired),2,312,2.0,12.0,"STS-41-B (Challenger), STS-31 (Discovery)",,,USA
William C. McCool,1996.0,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Commander,US Navy,1,382,0.0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia),USA
Michael J. McCulley,1984.0,Retired,8/4/1943,"San Diego, CA",Male,Purdue University,Captain,US Navy (Retired),1,119,0.0,0.0,STS-34 (Atlantis),,,USA
James A. McDivitt,1984.0,Retired,6/10/1929,"Chicago, IL",Male,University of Michigan,Brigadier General,US Air Force (Retired),2,338,0.0,0.0,"Gemini 4, Apollo 9",,,USA
Donald R. McMonagle,1987.0,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Colonel,US Air Force (Retired),3,605,0.0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,,USA
Ronald E. McNair,1978.0,Deceased,10/21/1950,"Lake City, SC",Male,North Carolina A&T State College; MIT,,,2,191,0.0,0.0,"STS-41-B (Challenger), STS-51-L (Challenger)",1/28/1986,STS-51-L (Challenger),USA
Carl J. Meade,1985.0,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Colonel,US Air Force (Retired),3,712,1.0,6.0,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,,USA
Bruce E. Melnick,1987.0,Retired,12/5/1949,"New York, NY",Male,US Coast Guard Academy; West Florida University,Commander,US Coast Guard (Retired),2,311,0.0,0.0,"STS-41 (Discovery), STS-49 (Endeavor)",,,USA
Pamela A. Melroy,1995.0,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College; MIT,Colonel,US Air Force (Retired),3,914,0.0,0.0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,,USA
Leland D. Melvin,1998.0,Management,2/15/1964,"Lynchburg, VA",Male,University of Richmond; University of Virginia,,,2,565,0.0,0.0,"STS-122 (Atlantis), STS-129 (Atlantis)",,,USA
Dorothy M. Metcalf-Lindenberger,2004.0,Active,5/2/1975,"Colorado Springs, CO",Female,Whitman College,,,1,362,0.0,0.0,STS-131 (Discovery),,,USA
F. Curtis Michel,1965.0,Retired,6/5/1934,"LaCrosse, WI",Male,California Institute of Technology,,,0,0,0.0,0.0,,,,USA
Edgar D. Mitchell,1966.0,Retired,9/17/1930,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Captain,US Navy (Retired),1,216,2.0,9.0,Apollo 14,,,USA
Barbara R. Morgan,1998.0,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,,,1,305,0.0,0.0,STS-118 (Endeavor),,,USA
Lee M. Morin,1996.0,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Captain,US Navy,1,259,2.0,14.0,STS-110 (Atlantis),,,USA
Richard M. Mullane,1978.0,Retired,9/10/1945,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Colonel,US Air Force (Retired),3,356,0.0,0.0,"STS-41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,,USA
Story Musgrave,1967.0,Retired,8/19/1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,,,6,1281,4.0,26.0,"STS-6 (Challenger), STS-51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,,USA
Steven R. Nagel,1978.0,Retired,10/27/1946,"Canton, IL",Male,University of Illinois; California State University-Fresno,Colonel,US Air Force (Retired),4,721,0.0,0.0,"STS-51-G (Discovery), STS-61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,USA
Bill Nelson,,Retired,9/29/1942,"Miami, FL",Male,Yale University; University of Virginia,Captain,US Army (Retired),1,146,0.0,0.0,STS-61-C (Columbia),,,USA
George D. Nelson,1978.0,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College; University of Washington,,,3,411,2.0,10.0,"STS-41-C (Challenger), STS-61-C (Columbia), STS-26 (Discovery)",,,USA
James H. Newman,1990.0,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,,,4,1042,6.0,43.0,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,,USA
Carlos I. Noriega,1995.0,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Lieutenant Colonel,US Marine Corps (Retired),2,481,3.0,19.0,"STS-84 (Atlantis), STS-97 (Endeavor)",,,USA
Lisa M. Nowak,1996.0,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Captain,US Navy (Retired),1,306,0.0,0.0,STS-121 (Discovery),,,USA
Karen L. Nyberg,2000.0,Active,10/7/1969,"Parker’s Prairie, MN",Female,University of North Dakota; University of Texas,,,2,4320,0.0,0.0,"STS-124 (Discovery), Soyuz TMA-09M",,,USA
Bryan D. O'Connor,1980.0,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy; West Florida University,Colonel,US Marine Corps (Retired),2,383,0.0,0.0,"STS-61-B (Atlantis), STS-40 (Columbia)",,,USA
Brian T. O'Leary,1967.0,Deceased,1/27/1940,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,,,0,0,0.0,0.0,,7/28/2011,,USA
Ellen Ochoa,1990.0,Management,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,,,4,979,0.0,0.0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,,USA
William A. Oefelein,1998.0,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Commander,US Navy (Retired),1,308,0.0,0.0,STS-116 (Discovery),,,USA
John D. Olivas,1998.0,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,,,2,665,5.0,34.0,"STS-117 (Atlantis), STS-128 (Discovery)",,,USA
Ellison S. Onizuka,1978.0,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,Lieutenant Colonel,US Air Force,2,73,0.0,0.0,"STS-51-C (Discovery), STS-51-L (Challenger)",1/28/1986,STS-51-L (Challenger),USA
